batter,at_bats,avg_exit_velo,max_exit_velo,hard_hit_percentage,batting_avg,obp,slg,ops,strikeout_rate,walk_rate
Alexander,28,75.78947368421052,91.0,0.0,0.21428571428571427,0.54,0.35714285714285715,0.8971428571428572,16.0,40.0
Beiswenger,25,79.5,96.0,20.0,0.04,0.3684210526315789,0.08,0.44842105263157894,28.947368421052634,28.947368421052634
Bowne,33,80.66666666666667,98.0,14.285714285714285,0.15151515151515152,0.23076923076923078,0.15151515151515152,0.38228438228438233,25.64102564102564,10.256410256410255
Bullock,35,91.5909090909091,105.0,68.18181818181817,0.37142857142857144,0.47619047619047616,0.6,1.0761904761904761,19.047619047619047,14.285714285714285
Chiaravallo,35,81.52631578947368,105.0,36.84210526315789,0.2571428571428571,0.48,0.3142857142857143,0.7942857142857143,26.0,30.0
Coupe,10,86.4,99.0,20.0,0.0,0.3333333333333333,0.0,0.3333333333333333,20.0,33.33333333333333
Dunn,28,86.05,97.0,20.0,0.14285714285714285,0.358974358974359,0.21428571428571427,0.5732600732600732,12.82051282051282,20.51282051282051
Facinelli,29,93.4,105.0,66.66666666666666,0.2413793103448276,0.5217391304347826,0.4482758620689655,0.9700149925037481,26.08695652173913,28.26086956521739
Fluharty,34,83.55,99.0,30.0,0.3235294117647059,0.5,0.38235294117647056,0.8823529411764706,23.91304347826087,21.73913043478261
Karp,32,84.54545454545455,102.0,45.45454545454545,0.40625,0.5581395348837209,0.5625,1.120639534883721,13.953488372093023,25.581395348837212
Kender,35,86.23529411764706,105.0,35.294117647058826,0.22857142857142856,0.4489795918367347,0.3142857142857143,0.763265306122449,30.612244897959183,26.53061224489796
Morabito,24,84.86666666666666,99.0,53.333333333333336,0.20833333333333334,0.3870967741935484,0.4583333333333333,0.8454301075268817,25.806451612903224,22.58064516129032
Murphy,16,66.5,81.0,0.0,0.1875,0.5185185185185185,0.1875,0.7060185185185185,29.629629629629626,33.33333333333333
Nascimento,24,87.23076923076923,102.0,30.76923076923077,0.2916666666666667,0.5135135135135135,0.4583333333333333,0.9718468468468469,16.216216216216218,29.72972972972973
"Swenson, A.",34,75.38888888888889,102.0,16.666666666666664,0.17647058823529413,0.3333333333333333,0.20588235294117646,0.5392156862745098,22.22222222222222,13.333333333333334
Trommer,40,89.71428571428571,105.0,66.66666666666666,0.325,0.425531914893617,0.475,0.9005319148936171,27.659574468085108,12.76595744680851
